No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
63,FISV,2.97%,7.69%,-4.17%,12.09%,14.59%,1.10%,2.03%,1.64%,1.80,4.49M,0.76,115.11,0.57%,"3,412,864"
64,CINF,2.29%,1.08%,4.61%,40.18%,47.70%,34.92%,2.65%,2.21%,2.80,576.56K,2.05,117.88,0.14%,"1,181,223"
65,AKAM,0.32%,2.85%,10.32%,8.01%,8.52%,14.22%,1.50%,1.60%,2.00,1.19M,0.71,119.92,0.45%,"847,318"
66,SBUX,-3.60%,8.60%,6.06%,25.43%,58.44%,13.51%,1.36%,1.63%,2.20,5.48M,1.03,121.43,-0.78%,"5,626,099"
67,ROST,0.83%,-1.06%,-6.30%,10.24%,37.93%,-0.10%,2.04%,2.11%,2.00,2.06M,0.58,122.69,0.09%,"1,186,252"
68,TER,-1.40%,-5.20%,1.54%,11.91%,43.32%,5.93%,3.90%,3.34%,2.20,1.41M,0.79,127.00,1.07%,"1,118,620"
69,EXPD,-1.62%,1.30%,16.74%,43.26%,54.48%,34.84%,1.85%,1.40%,3.20,1.23M,1.33,128.25,1.01%,"1,637,488"
70,PTC,-11.29%,-4.11%,3.44%,1.91%,58.27%,13.24%,3.82%,2.68%,1.90,603.04K,1.69,135.45,1.82%,"1,019,367"
71,AMAT,1.08%,-1.73%,5.44%,44.74%,117.22%,62.14%,3.08%,3.16%,2.00,8.19M,1.04,139.93,1.77%,"8,485,575"
72,MCHP,2.80%,-4.42%,-4.77%,5.15%,39.97%,3.63%,2.48%,2.69%,2.00,1.81M,0.94,143.12,1.48%,"1,709,237"
73,EA,-0.71%,0.09%,1.32%,0.53%,3.87%,0.25%,2.08%,1.92%,2.10,2.15M,1.27,143.96,0.40%,"2,727,419"
74,TMUS,0.01%,-0.56%,9.00%,14.23%,36.54%,6.80%,1.68%,1.58%,1.90,4.19M,1.51,144.02,-0.42%,"6,328,412"
75,AAPL,-1.82%,6.50%,10.95%,10.53%,51.64%,9.93%,1.99%,1.89%,2.00,83.76M,0.81,145.86,0.15%,"67,986,980"
76,MAR,4.89%,6.93%,-1.71%,25.51%,70.72%,10.66%,3.00%,2.86%,2.50,2.10M,0.99,145.98,-1.28%,"2,083,798"
77,CPRT,0.25%,11.51%,18.06%,33.94%,58.52%,15.52%,1.62%,1.67%,1.70,923.40K,0.85,147.00,0.20%,"783,336"
78,CDNS,1.36%,7.92%,12.05%,13.24%,37.16%,8.22%,1.99%,1.83%,2.20,1.38M,1.06,147.65,1.27%,"1,457,367"
79,QCOM,3.40%,4.81%,7.93%,-4.15%,39.75%,-1.67%,2.36%,2.08%,2.00,7.94M,1.05,149.80,-0.79%,"8,351,378"
80,XLNX,8.69%,3.60%,17.10%,14.76%,33.94%,5.69%,6.06%,3.72%,2.90,1.99M,1.53,149.84,1.76%,"3,058,966"
81,PEP,-0.15%,5.93%,8.87%,14.92%,13.99%,5.83%,0.94%,1.13%,2.30,4.84M,0.75,156.95,0.09%,"3,641,125"
82,GRMN,1.99%,8.68%,14.54%,36.86%,57.18%,31.37%,1.86%,1.46%,2.40,602.05K,1.23,157.20,-0.39%,"739,316"
83,EXPE,-0.42%,-1.73%,-8.72%,29.63%,89.41%,21.50%,2.61%,2.80%,2.40,2.26M,0.63,160.87,-1.75%,"1,418,406"
84,ADI,2.37%,-2.75%,9.31%,13.64%,43.96%,13.33%,1.82%,2.02%,1.70,3.17M,0.83,167.42,0.53%,"2,632,374"
85,JBHT,0.72%,3.38%,-1.32%,25.09%,30.54%,23.27%,1.76%,2.30%,2.30,635.09K,0.78,168.45,0.62%,"493,378"
86,TTWO,0.08%,-2.03%,-1.12%,-13.48%,8.69%,-16.54%,3.09%,2.27%,2.00,1.28M,1.50,173.42,2.02%,"1,926,428"
87,JKHY,-1.24%,6.47%,6.92%,20.24%,-2.47%,7.47%,1.50%,1.32%,2.60,472.05K,0.45,174.09,0.46%,"211,075"
88,TSCO,-3.61%,-2.76%,-4.07%,27.65%,26.15%,28.70%,1.97%,2.16%,2.30,984.68K,1.26,180.93,-0.03%,"1,238,545"
89,CDW,1.33%,4.98%,2.82%,39.26%,58.48%,39.12%,1.47%,1.56%,2.00,752.62K,0.88,183.35,0.13%,"664,968"
90,ETSY,-12.14%,-10.85%,-7.69%,-7.83%,63.29%,3.15%,4.18%,4.12%,1.80,3.05M,1.55,183.51,-7.77%,"4,721,912"
91,SWKS,-4.23%,-3.78%,1.75%,9.02%,29.76%,20.69%,3.30%,2.44%,2.30,1.72M,4.26,184.51,-6.18%,"7,333,372"
92,NDAQ,-0.55%,6.22%,15.59%,38.04%,43.75%,40.67%,1.43%,1.63%,2.30,774.26K,0.76,186.73,0.03%,"589,567"
