,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
151,152,UGP,Ultrapar Participacoes S.A.,Energy,Oil & Gas Refining & Marketing,Brazil,3.85B,22.50,3.42,-6.56%,931810,152,-3.39%,-9.04%,-11.86%,-14.29%,-9.52%,-24.50%,3.28%,3.17%,2.00,1.42M,0.65,3.42,-6.56%,931810
152,153,SUM,"Summit Materials, Inc.",Basic Materials,Building Materials,USA,3.85B,23.95,33.60,-1.96%,487046,153,1.48%,-3.59%,16.71%,63.66%,112.93%,67.33%,3.81%,3.23%,1.90,970.44K,0.50,33.60,-1.96%,487046
153,154,OGS,"ONE Gas, Inc.",Utilities,Utilities - Regulated Gas,USA,3.85B,19.70,73.78,-1.07%,170728,154,-0.20%,-0.46%,-8.31%,0.89%,-3.61%,-3.89%,2.07%,1.88%,2.70,269.08K,0.63,73.78,-1.07%,170728
154,155,SPSC,"SPS Commerce, Inc.",Technology,Software - Infrastructure,USA,3.84B,85.86,108.95,8.55%,212336,155,8.19%,9.11%,6.35%,10.17%,48.60%,0.33%,3.02%,2.53%,2.20,126.73K,1.68,108.95,8.55%,212336
155,156,PZZA,"Papa John's International, Inc.",Consumer Cyclical,Restaurants,USA,3.82B,59.07,114.12,-0.91%,211678,156,-3.26%,9.27%,17.99%,11.58%,22.38%,34.50%,2.20%,2.71%,1.80,372.87K,0.57,114.12,-0.91%,211678
156,157,VIAV,Viavi Solutions Inc.,Technology,Communication Equipment,USA,3.80B,51.67,16.69,0.48%,1027958,157,1.64%,-5.49%,2.02%,8.03%,21.47%,11.45%,2.40%,2.03%,1.90,1.59M,0.65,16.69,0.48%,1027958
157,158,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,USA,3.77B,31.18,47.18,0.55%,417567,158,-1.71%,-2.30%,0.98%,0.61%,29.44%,-0.93%,1.16%,0.94%,3.00,596.98K,0.70,47.18,0.55%,417567
158,159,EXLS,"ExlService Holdings, Inc.",Technology,Information Technology Services,USA,3.77B,39.37,113.22,4.01%,193298,159,5.95%,6.55%,22.56%,47.65%,76.19%,33.00%,3.08%,1.97%,2.60,154.16K,1.25,113.22,4.01%,193298
159,160,FELE,"Franklin Electric Co., Inc.",Industrials,Specialty Industrial Machinery,USA,3.74B,32.66,81.76,1.28%,184349,160,-0.32%,1.41%,0.60%,17.78%,48.55%,18.13%,2.40%,2.21%,2.20,171.53K,1.07,81.76,1.28%,184349
160,161,OPCH,"Option Care Health, Inc.",Healthcare,Medical Care Facilities,USA,3.72B,431.67,20.72,-0.29%,320626,161,-2.45%,-5.26%,8.60%,12.12%,73.97%,32.48%,4.49%,3.41%,1.70,1.14M,0.28,20.72,-0.29%,320626
161,162,AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,USA,3.72B,57.59,68.53,0.75%,187771,162,6.25%,9.26%,29.82%,22.18%,143.19%,31.18%,3.39%,4.13%,1.50,309.86K,0.61,68.53,0.75%,187771
162,163,GOLF,Acushnet Holdings Corp.,Consumer Cyclical,Leisure,USA,3.70B,22.38,51.23,0.12%,105050,163,0.33%,3.70%,21.08%,25.50%,34.18%,26.37%,1.60%,1.96%,2.80,268.45K,0.39,51.23,0.12%,105050
163,164,MRCY,"Mercury Systems, Inc.",Industrials,Aerospace & Defense,USA,3.67B,51.20,66.00,0.26%,208343,164,-0.77%,-0.42%,-12.28%,-7.12%,-14.92%,-25.05%,1.37%,2.03%,1.70,445.40K,0.47,66.00,0.26%,208343
164,165,NJR,New Jersey Resources Corporation,Utilities,Utilities - Regulated Gas,USA,3.65B,15.07,38.52,-1.66%,1917608,165,-1.93%,-2.65%,-8.18%,10.03%,22.75%,8.35%,2.25%,2.30%,2.20,453.47K,4.23,38.52,-1.66%,1917608
165,166,ALE,"ALLETE, Inc.",Utilities,Utilities - Diversified,USA,3.62B,22.94,70.32,-1.49%,235326,166,1.05%,0.49%,-0.06%,11.90%,18.11%,13.53%,1.68%,1.84%,2.80,208.67K,1.13,70.32,-1.49%,235326
166,167,MIME,Mimecast Limited,Technology,Software - Infrastructure,United Kingdom,3.62B,122.63,55.55,-1.17%,596719,167,-1.28%,4.71%,27.94%,29.01%,18.60%,-2.27%,2.21%,2.27%,2.10,596.04K,1.00,55.55,-1.17%,596719
167,168,DIOD,Diodes Incorporated,Technology,Semiconductors,USA,3.59B,34.54,82.00,2.27%,234042,168,6.22%,2.80%,6.76%,15.85%,58.09%,16.31%,3.14%,2.81%,2.10,224.47K,1.04,82.00,2.27%,234042
168,169,SXT,Sensient Technologies Corporation,Basic Materials,Specialty Chemicals,USA,3.51B,30.69,87.18,-0.16%,210781,169,1.89%,0.72%,6.01%,23.61%,65.90%,18.18%,1.90%,2.10%,2.20,222.73K,0.95,87.18,-0.16%,210781
169,170,SMPL,The Simply Good Foods Company,Consumer Defensive,Packaged Foods,USA,3.51B,57.40,37.48,0.35%,236883,170,-0.82%,2.66%,8.48%,31.32%,59.22%,19.52%,1.92%,2.44%,2.20,514.51K,0.46,37.48,0.35%,236883
170,171,CWST,"Casella Waste Systems, Inc.",Industrials,Waste Management,USA,3.50B,36.51,68.78,5.10%,508175,171,5.12%,8.43%,2.49%,20.16%,25.26%,11.03%,3.00%,2.15%,2.00,153.90K,3.30,68.78,5.10%,508175
