,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
228,229,MOG-A,Moog Inc.,Industrials,Aerospace & Defense,USA,2.48B,-,77.87,-4.87%,105422,229,-1.99%,-7.36%,-10.03%,5.41%,44.96%,-1.80%,3.07%,2.95%,2.00,92.21K,1.14,77.87,-4.87%,105422
229,230,IRBT,iRobot Corporation,Technology,Consumer Electronics,USA,2.48B,14.45,87.50,0.45%,607448,230,-1.96%,-6.31%,-19.58%,-27.14%,18.89%,8.98%,5.20%,3.90%,3.00,584.08K,1.04,87.50,0.45%,607448
230,231,THS,"TreeHouse Foods, Inc.",Consumer Defensive,Packaged Foods,USA,2.46B,43.87,44.40,-1.00%,303191,231,-2.65%,-0.27%,-6.72%,5.14%,0.66%,4.50%,2.42%,2.53%,2.70,674.85K,0.45,44.40,-1.00%,303191
231,232,CSIQ,Canadian Solar Inc.,Technology,Solar,Canada,2.46B,42.41,40.25,-1.13%,1052808,232,3.15%,-10.24%,-2.40%,-26.48%,78.49%,-21.45%,4.47%,5.02%,2.10,1.52M,0.69,40.25,-1.13%,1052808
232,233,ESE,ESCO Technologies Inc.,Technology,Scientific & Technical Instruments,USA,2.43B,92.25,94.37,0.55%,60995,233,2.84%,0.60%,-13.23%,-0.75%,9.86%,-8.57%,1.80%,2.14%,2.00,131.08K,0.47,94.37,0.55%,60995
233,234,MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,USA,2.43B,9.79,43.40,0.81%,152962,234,0.95%,0.21%,-3.28%,27.09%,53.52%,23.61%,1.86%,2.61%,2.00,252.84K,0.60,43.40,0.81%,152962
234,235,CENT,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,USA,2.43B,16.39,48.29,0.25%,60496,235,-3.03%,-8.77%,-10.81%,14.19%,24.30%,25.07%,2.81%,2.69%,2.00,77.88K,0.78,48.29,0.25%,60496
235,236,ROCK,"Gibraltar Industries, Inc.",Industrials,Building Products & Equipment,USA,2.41B,30.09,74.68,1.19%,99369,236,2.78%,-2.14%,-18.70%,-16.68%,42.79%,3.81%,2.58%,2.91%,2.00,133.86K,0.74,74.68,1.19%,99369
236,237,IPAR,"Inter Parfums, Inc.",Consumer Defensive,Household & Personal Products,USA,2.39B,43.68,76.87,1.29%,56719,237,2.15%,6.76%,4.44%,23.62%,84.56%,27.08%,2.80%,2.82%,2.80,91.26K,0.62,76.87,1.29%,56719
237,238,FWRD,Forward Air Corporation,Industrials,Integrated Freight & Logistics,USA,2.39B,42.09,88.44,-0.05%,127913,238,-0.18%,-1.46%,0.17%,23.36%,67.34%,15.10%,2.43%,2.54%,2.00,142.60K,0.90,88.44,-0.05%,127913
238,239,FSS,Federal Signal Corporation,Industrials,Pollution & Treatment Controls,USA,2.39B,25.74,39.61,-0.95%,192895,239,2.88%,-1.54%,-4.39%,21.17%,26.35%,19.42%,2.67%,2.20%,1.80,197.55K,0.98,39.61,-0.95%,192895
239,240,MODV,ModivCare Inc.,Healthcare,Medical Care Facilities,USA,2.37B,67.38,170.00,0.59%,36822,240,3.48%,-0.04%,21.36%,7.21%,105.96%,22.63%,3.17%,2.79%,1.50,61.97K,0.59,170.00,0.59%,36822
240,241,MWA,"Mueller Water Products, Inc.",Industrials,Specialty Industrial Machinery,USA,2.33B,31.13,14.82,0.34%,792736,241,0.82%,2.77%,3.20%,23.60%,45.87%,19.71%,1.55%,2.21%,2.60,710.93K,1.12,14.82,0.34%,792736
241,242,BZUN,Baozun Inc.,Consumer Cyclical,Internet Retail,China,2.33B,25.41,24.72,-3.66%,989352,242,-6.79%,-30.25%,-28.78%,-39.69%,-38.99%,-28.03%,6.72%,5.51%,1.80,751.49K,1.32,24.72,-3.66%,989352
242,243,VSTO,Vista Outdoor Inc.,Consumer Cyclical,Leisure,USA,2.31B,9.09,40.39,-2.01%,821520,243,2.77%,-12.73%,23.86%,38.46%,138.85%,69.99%,5.41%,4.55%,1.70,983.91K,0.83,40.39,-2.01%,821520
243,244,HUBG,"Hub Group, Inc.",Industrials,Integrated Freight & Logistics,USA,2.24B,28.73,66.28,0.65%,304670,244,1.66%,0.45%,0.85%,25.94%,32.67%,16.28%,3.86%,2.88%,2.10,212.09K,1.44,66.28,0.65%,304670
244,245,EPC,Edgewell Personal Care Company,Consumer Defensive,Household & Personal Products,USA,2.19B,38.98,41.08,-0.82%,432141,245,0.12%,-6.42%,7.54%,22.99%,39.07%,18.80%,1.70%,2.15%,2.80,451.01K,0.96,41.08,-0.82%,432141
245,246,HEP,"Holly Energy Partners, L.P.",Energy,Oil & Gas Midstream,USA,2.17B,10.34,20.60,-3.69%,121095,246,0.00%,-8.97%,0.64%,41.48%,54.89%,45.07%,3.28%,3.14%,2.50,242.80K,0.50,20.60,-3.69%,121095
246,247,IOSP,Innospec Inc.,Basic Materials,Specialty Chemicals,USA,2.17B,118.09,88.45,-0.52%,155422,247,2.28%,-2.38%,-9.20%,0.75%,17.26%,-2.51%,1.80%,2.10%,2.30,106.30K,1.46,88.45,-0.52%,155422
247,248,INT,World Fuel Services Corporation,Energy,Oil & Gas Refining & Marketing,USA,2.15B,25.15,34.46,5.58%,1064520,248,17.49%,8.60%,11.41%,12.65%,50.61%,10.59%,4.35%,3.54%,2.00,429.47K,2.48,34.46,5.58%,1064520
248,249,BDC,Belden Inc.,Industrials,Electrical Equipment & Parts,USA,2.15B,32.32,49.00,-1.29%,161519,249,2.53%,-3.10%,13.22%,3.73%,50.91%,16.95%,2.78%,2.66%,2.50,236.39K,0.68,49.00,-1.29%,161519
249,250,SYKE,"Sykes Enterprises, Incorporated",Technology,Information Technology Services,USA,2.13B,31.92,53.66,0.17%,269891,250,-0.15%,-0.07%,22.43%,39.05%,95.34%,42.45%,0.43%,0.50%,3.00,436.26K,0.62,53.66,0.17%,269891
250,251,CVCO,"Cavco Industries, Inc.",Consumer Cyclical,Residential Construction,USA,2.11B,28.50,235.00,-1.67%,29012,251,7.87%,5.77%,12.21%,24.56%,15.76%,33.94%,2.93%,2.96%,2.30,41.16K,0.70,235.00,-1.67%,29012
251,252,NTCT,"NetScout Systems, Inc.",Technology,Software - Infrastructure,USA,2.10B,112.78,28.76,-1.07%,241706,252,-0.21%,0.77%,9.79%,-1.62%,12.65%,4.89%,2.86%,2.64%,3.00,398.67K,0.61,28.76,-1.07%,241706
252,253,AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile,2.09B,14.50,14.22,2.41%,16677,253,5.96%,-1.93%,-0.70%,-8.49%,-1.93%,-4.84%,5.50%,4.64%,2.20,35.93K,0.46,14.22,2.41%,16677
253,254,TWNK,"Hostess Brands, Inc.",Consumer Defensive,Packaged Foods,USA,2.08B,23.66,16.09,-1.17%,595559,254,-0.74%,-0.62%,5.23%,4.82%,27.40%,9.90%,2.36%,1.88%,2.10,1.35M,0.44,16.09,-1.17%,595559
254,255,OTTR,Otter Tail Corporation,Utilities,Utilities - Diversified,USA,2.07B,20.53,50.79,-0.49%,99962,255,2.19%,4.06%,7.54%,27.97%,30.67%,19.20%,1.60%,1.87%,1.70,106.17K,0.94,50.79,-0.49%,99962
255,256,VGR,Vector Group Ltd.,Consumer Defensive,Tobacco,USA,2.05B,16.19,13.36,-0.52%,458482,256,0.91%,-5.52%,2.38%,13.80%,51.99%,14.68%,2.06%,2.41%,3.00,636.36K,0.72,13.36,-0.52%,458482
256,257,KAI,Kadant Inc.,Industrials,Specialty Industrial Machinery,USA,2.04B,35.26,180.13,1.02%,16383,257,1.44%,2.29%,1.18%,26.01%,63.56%,27.77%,1.90%,2.04%,2.20,30.19K,0.54,180.13,1.02%,16383
257,258,IDCC,"InterDigital, Inc.",Communication Services,Telecom Services,USA,2.03B,40.77,65.89,0.56%,210024,258,2.62%,-9.78%,-5.08%,2.62%,11.04%,8.59%,1.85%,2.19%,1.20,239.75K,0.88,65.89,0.56%,210024
258,259,TTGT,"TechTarget, Inc.",Communication Services,Internet Content & Information,USA,2.02B,125.57,73.08,-1.52%,70844,259,-1.73%,-5.69%,-4.72%,-2.17%,101.49%,23.63%,3.48%,3.62%,2.20,146.50K,0.48,73.08,-1.52%,70844
