,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
114,115,SWBI,"Smith & Wesson Brands, Inc.",Industrials,Aerospace & Defense,USA,1.16B,5.28,23.45,-3.22%,1632288,115,0.30%,-32.42%,34.77%,41.61%,25.18%,32.11%,4.26%,5.94%,2.50,2.96M,0.55,23.45,-3.22%,1632288
115,116,SXC,"SunCoke Energy, Inc.",Basic Materials,Coking Coal,USA,657.20M,42.24,7.73,-2.40%,1123042,116,16.42%,8.26%,14.52%,56.80%,140.06%,77.70%,5.87%,4.80%,2.00,967.73K,1.16,7.73,-2.40%,1123042
116,117,TCS,"The Container Store Group, Inc.",Consumer Cyclical,Specialty Retail,USA,526.00M,9.21,10.52,1.06%,441727,117,-1.59%,-19.33%,-25.34%,-22.82%,184.32%,10.27%,3.26%,4.18%,3.30,724.71K,0.61,10.52,1.06%,441727
117,118,TG,Tredegar Corporation,Basic Materials,Specialty Chemicals,USA,438.76M,32.43,13.07,0.31%,166766,118,4.31%,-5.08%,-10.60%,-10.42%,15.95%,-21.74%,2.45%,2.47%,-,146.91K,1.14,13.07,0.31%,166766
118,119,TNC,Tennant Company,Industrials,Specialty Industrial Machinery,USA,1.47B,27.32,79.12,0.15%,35565,119,2.04%,-0.91%,0.27%,16.78%,19.05%,12.75%,1.32%,1.78%,1.70,66.57K,0.53,79.12,0.15%,35565
119,120,TPB,"Turning Point Brands, Inc.",Consumer Defensive,Tobacco,USA,980.34M,23.48,53.02,2.34%,273469,120,16.40%,15.84%,8.60%,12.57%,60.18%,18.99%,4.77%,3.70%,1.80,178.29K,1.53,53.02,2.34%,273469
120,121,TPC,Tutor Perini Corporation,Industrials,Engineering & Construction,USA,720.81M,6.73,14.07,-0.57%,193809,121,4.53%,1.59%,-12.61%,-5.57%,14.20%,8.65%,3.66%,3.60%,2.30,326.89K,0.59,14.07,-0.57%,193809
121,122,TRNS,"Transcat, Inc.",Industrials,Industrial Distribution,USA,462.91M,45.35,63.85,3.10%,13122,122,4.07%,12.99%,27.70%,74.60%,122.55%,84.11%,3.51%,3.96%,1.80,32.13K,0.41,63.85,3.10%,13122
122,123,UEIC,Universal Electronics Inc.,Technology,Consumer Electronics,USA,641.27M,16.65,46.74,0.32%,33745,123,2.19%,-3.63%,-17.78%,-13.83%,-2.05%,-10.90%,3.55%,2.84%,1.50,72.19K,0.47,46.74,0.32%,33745
123,124,USCR,"U.S. Concrete, Inc.",Basic Materials,Building Materials,USA,1.25B,59.10,72.81,-0.26%,199561,124,-0.57%,-1.34%,14.82%,64.39%,185.08%,82.16%,0.51%,0.85%,3.00,519.67K,0.38,72.81,-0.26%,199561
