,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
45,46,HCSG,"Healthcare Services Group, Inc.",Healthcare,Medical Care Facilities,USA,1.96B,21.84,26.10,-0.72%,604460,46,-2.06%,-17.33%,-12.85%,-19.49%,-0.04%,-7.12%,2.38%,2.96%,2.60,507.10K,1.19,26.10,-0.72%,604460
46,47,HSTM,"HealthStream, Inc.",Healthcare,Health Information Services,USA,914.27M,111.92,29.21,0.79%,72451,47,-0.85%,4.55%,20.90%,25.47%,33.08%,33.75%,3.21%,2.44%,2.50,97.29K,0.74,29.21,0.79%,72451
47,48,HTLD,"Heartland Express, Inc.",Industrials,Trucking,USA,1.36B,18.86,17.03,0.41%,273027,48,2.47%,-0.58%,-8.39%,-9.27%,-16.03%,-5.91%,1.73%,2.10%,2.90,339.91K,0.80,17.03,0.41%,273027
48,49,IAG,IAMGOLD Corporation,Basic Materials,Gold,Canada,1.30B,14.57,2.74,0.37%,2477745,49,10.93%,-7.12%,-12.46%,-18.93%,-43.39%,-25.34%,3.75%,4.10%,2.20,4.46M,0.56,2.74,0.37%,2477745
49,50,ICFI,"ICF International, Inc.",Industrials,Consulting Services,USA,1.72B,27.90,91.57,0.22%,48461,50,2.84%,4.22%,0.56%,18.72%,36.45%,23.19%,2.03%,2.21%,1.70,78.84K,0.61,91.57,0.22%,48461
50,51,IMKTA,"Ingles Markets, Incorporated",Consumer Defensive,Grocery Stores,USA,1.14B,6.93,59.76,-0.76%,74407,51,0.62%,2.56%,-2.50%,25.65%,46.22%,40.08%,2.03%,2.11%,-,93.23K,0.80,59.76,-0.76%,74407
51,52,IMOS,ChipMOS TECHNOLOGIES INC.,Technology,Semiconductors,Taiwan,1.35B,15.08,38.43,1.96%,36433,52,5.14%,13.08%,12.86%,58.74%,75.64%,57.82%,2.23%,1.73%,-,21.60K,1.69,38.43,1.96%,36433
52,53,INFU,InfuSystem Holdings Inc.,Healthcare,Medical Instruments & Supplies,USA,375.77M,21.65,18.25,-0.60%,29774,53,-3.18%,-12.22%,-19.32%,3.58%,43.59%,-2.82%,4.42%,4.72%,1.70,91.13K,0.33,18.25,-0.60%,29774
53,54,INVA,"Innoviva, Inc.",Healthcare,Biotechnology,USA,978.56M,5.75,14.18,0.57%,678306,54,6.14%,5.74%,23.84%,18.07%,2.90%,14.45%,3.54%,2.60%,4.00,662.80K,1.02,14.18,0.57%,678306
54,55,JOUT,Johnson Outdoors Inc.,Consumer Cyclical,Leisure,USA,1.17B,15.71,118.37,2.49%,29362,55,1.31%,-2.17%,-16.53%,8.57%,26.56%,5.10%,2.24%,2.28%,1.00,36.01K,0.82,118.37,2.49%,29362
55,56,JYNT,The Joint Corp.,Healthcare,Medical Care Facilities,USA,1.14B,79.47,78.99,-1.74%,148282,56,-4.54%,-5.87%,42.38%,142.82%,452.38%,200.80%,4.23%,5.15%,2.20,328.75K,0.45,78.99,-1.74%,148282
56,57,KBAL,"Kimball International, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,463.51M,49.92,12.38,-1.75%,165374,57,-2.13%,-5.86%,-15.09%,2.40%,11.83%,3.60%,2.55%,2.62%,1.50,217.52K,0.76,12.38,-1.75%,165374
57,58,KFRC,Kforce Inc.,Industrials,Staffing & Employment Services,USA,1.37B,22.08,62.43,-0.03%,141707,58,2.99%,-0.79%,11.40%,46.38%,114.76%,48.33%,1.90%,2.39%,2.00,96.37K,1.47,62.43,-0.03%,141707
58,59,KRO,"Kronos Worldwide, Inc.",Basic Materials,Specialty Chemicals,USA,1.62B,28.45,13.91,-0.50%,98519,59,1.53%,-2.86%,-18.18%,-1.77%,24.09%,-6.71%,2.58%,2.67%,3.00,146.71K,0.67,13.91,-0.50%,98519
59,60,LNN,Lindsay Corporation,Industrials,Farm & Heavy Construction Machinery,USA,1.75B,34.34,160.69,0.38%,29428,60,1.30%,-2.78%,-3.07%,14.92%,64.32%,25.09%,2.01%,2.42%,2.80,51.24K,0.57,160.69,0.38%,29428
60,61,LRN,"Stride, Inc.",Consumer Defensive,Education & Training Services,USA,1.27B,19.34,30.66,0.36%,335139,61,-1.03%,-4.58%,7.09%,19.07%,-35.79%,44.42%,4.15%,5.45%,1.60,574.44K,0.58,30.66,0.36%,335139
61,62,LX,LexinFintech Holdings Ltd.,Financial,Credit Services,China,1.51B,5.27,7.86,-5.07%,2075181,62,-9.13%,-35.84%,-13.53%,1.16%,-4.03%,17.31%,8.48%,7.44%,1.60,1.86M,1.11,7.86,-5.07%,2075181
62,63,LXFR,Luxfer Holdings PLC,Industrials,Specialty Industrial Machinery,United Kingdom,557.11M,19.84,20.85,3.83%,113815,63,6.60%,-6.29%,-5.70%,26.59%,56.06%,26.98%,4.45%,3.26%,2.20,91.98K,1.24,20.85,3.83%,113815
63,64,LZB,La-Z-Boy Incorporated,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1.53B,14.65,33.58,-0.91%,441164,64,1.24%,-9.34%,-24.47%,-13.27%,16.44%,-15.71%,2.23%,2.90%,2.00,409.01K,1.08,33.58,-0.91%,441164
64,65,MEI,"Methode Electronics, Inc.",Technology,Electronic Components,USA,1.81B,14.98,47.83,1.08%,152957,65,5.05%,-2.80%,6.45%,26.70%,64.14%,24.95%,2.57%,2.71%,3.00,175.26K,0.87,47.83,1.08%,152957
65,66,MGIC,Magic Software Enterprises Ltd.,Technology,Software - Application,Israel,859.21M,31.86,17.46,-0.68%,14724,66,1.10%,7.58%,6.53%,7.98%,53.83%,11.57%,1.91%,2.29%,1.70,33.53K,0.44,17.46,-0.68%,14724
66,67,MGPI,"MGP Ingredients, Inc.",Consumer Defensive,Packaged Foods,USA,1.35B,22.13,59.65,-2.66%,84167,67,-3.82%,-11.81%,-0.75%,3.02%,63.42%,26.75%,3.30%,3.21%,2.70,114.20K,0.74,59.65,-2.66%,84167
67,68,MITK,"Mitek Systems, Inc.",Technology,Software - Application,USA,839.96M,100.96,22.11,13.33%,2224483,68,14.09%,14.80%,36.40%,36.90%,104.53%,24.35%,5.88%,4.11%,1.60,437.18K,5.09,22.11,13.33%,2224483
68,69,MPX,Marine Products Corporation,Consumer Cyclical,Recreational Vehicles,USA,545.93M,28.55,16.36,1.87%,5709,69,-0.85%,5.96%,-5.76%,0.49%,16.05%,12.52%,3.81%,3.86%,3.00,24.28K,0.24,16.36,1.87%,5709
69,70,MRTN,"Marten Transport, Ltd.",Industrials,Trucking,USA,1.29B,17.10,15.82,1.22%,367267,70,3.74%,-4.06%,-5.38%,-0.19%,-8.30%,-8.18%,2.01%,2.50%,1.70,368.99K,1.00,15.82,1.22%,367267
70,71,MSEX,Middlesex Water Company,Utilities,Utilities - Regulated Water,USA,1.77B,47.65,101.74,0.48%,114482,71,5.59%,24.48%,24.04%,27.81%,56.76%,40.39%,2.18%,2.93%,2.30,225.02K,0.51,101.74,0.48%,114482
71,72,MX,Magnachip Semiconductor Corporation,Technology,Semiconductors,Luxembourg,952.56M,19.06,20.78,1.07%,481258,72,-7.56%,-12.91%,-16.91%,22.31%,83.08%,53.70%,3.49%,2.47%,2.00,771.88K,0.62,20.78,1.07%,481258
72,73,MYE,"Myers Industries, Inc.",Consumer Cyclical,Packaging & Containers,USA,774.34M,27.91,21.18,-1.30%,109365,73,0.14%,0.86%,-6.12%,5.64%,36.38%,1.92%,1.87%,1.92%,2.00,117.65K,0.93,21.18,-1.30%,109365
73,74,MYRG,MYR Group Inc.,Industrials,Engineering & Construction,USA,1.64B,21.30,95.63,-1.57%,113931,74,-0.79%,5.18%,22.76%,71.97%,150.14%,59.12%,4.37%,3.69%,2.20,135.63K,0.84,95.63,-1.57%,113931
74,75,NOA,North American Construction Group Ltd.,Energy,Oil & Gas Equipment & Services,Canada,446.55M,15.84,14.98,0.54%,38664,75,-3.17%,-1.32%,11.21%,62.47%,143.58%,51.62%,4.36%,4.35%,2.00,67.93K,0.57,14.98,0.54%,38664
75,76,NRC,National Research Corporation,Healthcare,Diagnostics & Research,USA,1.34B,39.07,52.78,0.44%,13140,76,1.01%,14.99%,2.88%,16.51%,-8.97%,23.46%,2.53%,2.63%,3.00,37.80K,0.35,52.78,0.44%,13140
76,77,NSSC,"Napco Security Technologies, Inc.",Industrials,Security & Protection Services,USA,651.85M,81.64,35.35,-0.48%,12370,77,1.41%,-2.80%,6.12%,36.38%,34.21%,34.82%,3.65%,3.60%,1.70,51.84K,0.24,35.35,-0.48%,12370
77,78,NTP,Nam Tai Property Inc.,Real Estate,Real Estate Services,China,832.70M,18.14,20.53,-3.34%,145343,78,-16.61%,-25.91%,58.66%,150.06%,157.91%,250.94%,10.08%,10.08%,-,521.59K,0.28,20.53,-3.34%,145343
78,79,NVEE,"NV5 Global, Inc.",Industrials,Engineering & Construction,USA,1.44B,54.98,95.00,-0.02%,30234,79,1.84%,0.52%,5.40%,8.78%,66.00%,20.59%,2.19%,2.42%,1.90,71.76K,0.42,95.00,-0.02%,30234
79,80,NWN,Northwest Natural Holding Company,Utilities,Utilities - Regulated Gas,USA,1.63B,19.68,52.29,-1.53%,126268,80,0.65%,-0.44%,-3.02%,11.95%,-2.48%,13.70%,2.23%,2.12%,2.70,138.63K,0.91,52.29,-1.53%,126268
80,81,NXGN,"NextGen Healthcare, Inc.",Healthcare,Health Information Services,USA,1.09B,113.43,16.22,-0.43%,362626,81,2.21%,-2.23%,-11.41%,-18.00%,29.35%,-11.07%,4.43%,2.87%,2.70,357.93K,1.01,16.22,-0.43%,362626
81,82,ORGO,Organogenesis Holdings Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.98B,42.73,15.34,-0.45%,560557,82,2.20%,-7.70%,-31.40%,46.65%,307.98%,103.72%,3.09%,4.57%,1.20,1.41M,0.40,15.34,-0.45%,560557
82,83,OSIS,"OSI Systems, Inc.",Technology,Electronic Components,USA,1.80B,29.44,100.05,0.17%,43258,83,4.79%,-1.56%,3.60%,11.14%,42.50%,7.33%,1.63%,1.74%,2.00,100.91K,0.43,100.05,0.17%,43258
83,84,PAM,Pampa Energia S.A.,Utilities,Utilities - Regulated Electric,Argentina,1.74B,4.54,15.51,-6.68%,112445,84,-3.66%,2.24%,15.57%,23.00%,38.98%,12.55%,2.96%,3.53%,3.40,103.00K,1.09,15.51,-6.68%,112445
84,85,PETS,"PetMed Express, Inc.",Healthcare,Pharmaceutical Retailers,USA,621.52M,23.20,31.39,2.38%,687038,85,13.04%,-1.44%,6.68%,-17.83%,1.26%,-2.09%,7.63%,5.61%,3.50,818.79K,0.84,31.39,2.38%,687038
85,86,PGTI,"PGT Innovations, Inc.",Industrials,Building Products & Equipment,USA,1.34B,32.12,22.58,0.00%,240558,86,2.78%,-2.80%,-14.24%,9.03%,31.20%,11.01%,2.58%,2.80%,2.40,325.57K,0.74,22.58,0.00%,240558
86,87,PKE,Park Aerospace Corp.,Industrials,Aerospace & Defense,USA,307.98M,51.38,14.90,-1.39%,149221,87,1.09%,0.00%,10.45%,12.20%,32.92%,11.11%,2.00%,2.94%,-,73.18K,2.04,14.90,-1.39%,149221
87,88,PLUS,ePlus inc.,Technology,Software - Application,USA,1.23B,16.66,92.46,1.16%,43991,88,3.17%,6.66%,-7.87%,10.02%,25.37%,5.13%,2.18%,2.23%,2.30,74.34K,0.59,92.46,1.16%,43991
88,89,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,USA,346.46M,57.95,29.09,-1.82%,25187,89,0.14%,-6.01%,-17.45%,1.46%,8.26%,-1.36%,2.54%,2.98%,3.00,43.66K,0.58,29.09,-1.82%,25187
89,90,PRDO,Perdoceo Education Corporation,Consumer Defensive,Education & Training Services,USA,841.82M,6.70,11.86,-0.75%,299063,90,4.13%,-3.34%,1.72%,0.25%,-18.43%,-6.10%,2.77%,2.82%,1.30,497.41K,0.60,11.86,-0.75%,299063
90,91,PRGS,Progress Software Corporation,Technology,Software - Application,USA,1.99B,27.65,45.59,0.42%,695352,91,-1.47%,-1.43%,4.42%,13.46%,32.11%,0.89%,1.98%,2.08%,1.20,375.38K,1.85,45.59,0.42%,695352
